City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Ahipara,NZ,-35.1667,173.1667,57.16,83,12,7.07,few clouds
315,Mangrol,IN,21.1167,70.1167,82.78,67,56,11.77,broken clouds
316,Mazatlan,MX,23.2167,-106.4167,83.91,95,44,3.0,scattered clouds
317,Codrington,AU,-38.2667,141.9667,57.04,83,99,4.72,overcast clouds
318,Chunskiy,RU,56.0815,99.6342,54.95,66,100,7.81,overcast clouds
319,Olafsvik,IS,64.8945,-23.7142,47.59,86,85,9.19,overcast clouds
320,Tyret Pervaya,RU,53.6703,102.3106,47.25,55,100,6.44,overcast clouds
321,Richards Bay,ZA,-28.783,32.0377,65.89,74,1,8.68,clear sky
322,Cape Coast,GH,5.1053,-1.2466,74.21,92,100,5.68,overcast clouds
323,Rockport,US,28.0206,-97.0544,82.45,79,0,5.75,clear sky
324,Culebra,PR,18.303,-65.301,82.49,82,90,13.0,overcast clouds
325,Son La,VN,21.3167,103.9,82.81,65,94,2.53,overcast clouds
326,Myitkyina,MM,25.3833,97.4,93.02,49,40,1.99,scattered clouds
327,Faya,SA,18.3851,42.4509,68.52,30,75,7.99,broken clouds
328,Flinders,AU,-34.5833,150.8552,62.38,88,100,11.07,overcast clouds
329,Labuhan,ID,-6.8844,112.2051,86.45,63,67,11.41,broken clouds
330,Camapua,BR,-19.5314,-54.0439,74.28,78,81,5.48,heavy intensity rain
331,Yagodnoye,RU,62.55,149.6667,34.45,70,100,8.63,overcast clouds
332,Boyolangu,ID,-8.1181,111.8935,82.13,71,92,10.87,overcast clouds
333,Pucallpa,PE,-8.3791,-74.5539,76.28,79,64,1.79,broken clouds
334,Micheweni,TZ,-4.9667,39.8333,77.14,67,100,10.4,overcast clouds
335,Bubaque,GW,11.2833,-15.8333,78.73,81,100,8.59,light rain
336,Norman Wells,CA,65.282,-126.8329,48.24,81,100,5.75,overcast clouds
337,Naze,JP,28.3667,129.4833,83.32,82,20,12.64,few clouds
338,Kirovskiy,RU,45.0917,133.5136,68.77,51,52,7.45,broken clouds
339,Geraldton,AU,-28.7667,114.6,68.41,60,75,12.66,broken clouds
340,Kungurtug,RU,50.5994,97.5228,60.21,32,67,2.42,broken clouds
341,Chippewa Falls,US,44.9369,-91.3929,51.98,85,0,3.44,clear sky
342,Linxia,CN,35.6003,103.2064,69.69,35,93,6.64,overcast clouds
343,Darnah,LY,32.767,22.6367,76.08,61,11,14.9,few clouds
344,Muros,ES,42.7762,-9.0603,53.83,87,56,4.74,broken clouds
345,Gornopravdinsk,RU,60.05,69.9,53.37,48,50,13.29,scattered clouds
346,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,90,53,2.48,broken clouds
347,Abnub,EG,27.2696,31.1511,75.42,29,0,1.81,clear sky
348,Cochrane,CA,51.1834,-114.4687,50.11,60,0,8.05,clear sky
349,Hellvik,NO,59.9156,5.781,57.99,76,100,8.59,overcast clouds
350,Bogandinskiy,RU,56.8937,65.8938,59.52,47,97,5.19,overcast clouds
351,Rizhao,CN,35.4275,119.4553,73.67,59,94,12.35,overcast clouds
352,Weligama,LK,5.9667,80.4167,86.41,63,36,12.77,scattered clouds
353,Kantang,TH,7.4054,99.5156,82.49,74,40,17.27,moderate rain
354,Kwekwe,ZW,-18.9281,29.8149,71.24,48,18,11.12,few clouds
355,Sungaipenuh,ID,-2.0833,101.3833,72.77,65,91,3.42,moderate rain
356,Nantucket,US,41.2835,-70.0995,66.99,88,20,13.8,few clouds
357,Mubi,NG,10.2676,13.2644,73.27,87,85,4.32,overcast clouds
358,Canto Do Buriti,BR,-8.11,-42.9444,75.15,43,61,3.83,broken clouds
359,Batagay-Alyta,RU,67.8006,130.4114,36.07,41,100,6.55,overcast clouds
360,Terrace,CA,54.5163,-128.6035,57.11,88,75,0.0,broken clouds
361,Porto Belo,BR,-27.1578,-48.5531,61.16,91,99,3.87,overcast clouds
362,Meulaboh,ID,4.1363,96.1285,85.46,56,73,3.87,broken clouds
363,Cap Malheureux,MU,-19.9842,57.6142,76.46,67,6,14.0,clear sky
364,Kondopoga,RU,62.2057,34.2614,46.08,85,88,0.49,overcast clouds
365,Vilhena,BR,-12.7406,-60.1458,75.22,59,83,2.73,broken clouds
366,Dingle,PH,10.9995,122.6711,86.95,69,97,5.77,overcast clouds
367,Biak,ID,-0.9131,122.8766,76.78,86,100,3.62,moderate rain
368,Awjilah,LY,29.1081,21.2869,77.25,58,2,12.57,clear sky
369,Sal Rei,CV,16.1833,-22.9167,79.11,80,79,17.78,broken clouds
370,Oussouye,SN,12.485,-16.5469,75.29,85,100,3.67,moderate rain
371,Sakaraha,MG,-22.9,44.5333,80.91,32,0,9.22,clear sky
372,Swan Hill,AU,-35.3378,143.5544,66.11,70,97,2.93,overcast clouds
373,Sovetsk,RU,55.0839,21.8785,45.82,92,24,5.75,few clouds
374,Bilibino,RU,68.0546,166.4372,38.3,68,28,6.46,scattered clouds
375,La Ronge,CA,55.1001,-105.2842,50.25,62,0,11.5,clear sky
376,Taloda,IN,21.5667,74.2167,84.27,68,87,15.37,overcast clouds
377,Kincardine,GB,56.0667,-3.7167,60.19,95,100,10.58,moderate rain
378,Kuandian,CN,40.7286,124.7847,63.27,66,94,12.37,overcast clouds
379,Santa Rosa,PH,14.3122,121.1114,83.1,73,100,8.21,moderate rain
380,Constitucion,CL,-35.3333,-72.4167,45.61,74,8,6.62,clear sky
381,Samarai,PG,-10.6167,150.6667,80.65,81,99,11.54,overcast clouds
382,Posse,BR,-14.0931,-46.3694,74.03,68,68,0.63,broken clouds
383,Asyut,EG,27.181,31.1837,75.38,29,0,2.26,clear sky
384,Custoias,PT,41.1053,-7.321,59.14,72,1,1.68,clear sky
